MD_ft,Deviation,Azimuth,TVD_ft,WellName
478.67,0,0,478.67,15/9-F-5
479.00,0,0,479.00,15/9-F-5
508.20,0.16,221.03,508.20,15/9-F-5
640.75,0.28,98.15,640.75,15/9-F-5
724.41,0.47,53.85,724.41,15/9-F-5
772.97,0.64,43.64,772.97,15/9-F-5
905.51,1.51,188.03,905.48,15/9-F-5
1038.06,2.21,178.31,1037.96,15/9-F-5
1170.28,4.11,173.29,1169.98,15/9-F-5
1302.82,7.66,171.91,1301.80,15/9-F-5
1435.37,9.13,178.88,1432.94,15/9-F-5
1567.59,10.58,180.1,1563.19,15/9-F-5
1700.13,11.35,177.18,1693.31,15/9-F-5
1832.35,11.51,168.58,1822.93,15/9-F-5
1964.90,12.38,160.99,1952.62,15/9-F-5
2097.44,13.56,152.14,2081.79,15/9-F-5
2229.66,14.3,144.14,2210.14,15/9-F-5
2362.20,15.63,138.03,2338.19,15/9-F-5
2494.75,18.5,128.65,2464.90,15/9-F-5
2626.97,21.63,122.01,2589.11,15/9-F-5
2759.51,23.86,117.08,2711.35,15/9-F-5
2892.06,26.84,113.98,2831.10,15/9-F-5
3024.28,25.33,116.92,2949.87,15/9-F-5
3156.82,22.47,119.01,3071.03,15/9-F-5
3289.37,19.82,122.15,3194.65,15/9-F-5
3421.92,17.2,122.87,3320.34,15/9-F-5
3554.13,15,123.11,3447.34,15/9-F-5
3686.68,17.73,118.94,3574.51,15/9-F-5
3819.23,21.77,113.96,3699.25,15/9-F-5
3951.44,26.13,110.24,3820.08,15/9-F-5
4083.99,29.6,108.19,3937.24,15/9-F-5
4216.54,31.04,109.95,4051.64,15/9-F-5
4349.08,28.6,112.14,4166.63,15/9-F-5
4481.30,25.5,114.9,4284.38,15/9-F-5
4608.60,29.72,114.66,4397.15,15/9-F-5
4613.85,29.89,114.65,4401.71,15/9-F-5
4746.06,31.1,113.78,4515.65,15/9-F-5
4878.61,31.91,113.02,4628.64,15/9-F-5
5010.83,31.93,113.02,4740.88,15/9-F-5
5143.37,32.67,110.91,4852.92,15/9-F-5
5275.59,33.69,107.7,4963.58,15/9-F-5
5408.14,34.24,106.15,5073.52,15/9-F-5
5540.68,34.99,103.16,5182.61,15/9-F-5
5672.90,35.88,101.36,5290.32,15/9-F-5
5805.45,35.93,103.37,5397.70,15/9-F-5
5937.66,35.95,104.77,5504.76,15/9-F-5
6070.21,35.83,106.25,5612.14,15/9-F-5
6202.76,36.05,109.56,5719.46,15/9-F-5
6334.97,36.8,111.45,5825.85,15/9-F-5
6467.52,36.16,113.43,5932.41,15/9-F-5
6600.07,35.9,113.73,6039.60,15/9-F-5
6732.28,34.88,114.41,6147.41,15/9-F-5
6864.83,33.5,112.95,6257.02,15/9-F-5
6997.05,32.25,110.97,6368.08,15/9-F-5
7129.27,32.85,108.23,6479.53,15/9-F-5
7261.81,32.96,103.95,6590.85,15/9-F-5
7394.03,33.13,101.52,6701.67,15/9-F-5
7526.57,33.06,98.75,6812.73,15/9-F-5
7658.79,33.27,95.46,6923.39,15/9-F-5
7791.34,33.48,93.92,7034.09,15/9-F-5
7923.88,33.45,93.04,7144.65,15/9-F-5
8056.43,33.33,91.93,7255.35,15/9-F-5
8188.98,32.61,92.01,7366.54,15/9-F-5
8321.19,31.9,90.38,7478.35,15/9-F-5
8453.74,31.49,87.08,7591.14,15/9-F-5
8586.29,31.21,84.61,7704.33,15/9-F-5
8718.50,31.29,83.98,7817.39,15/9-F-5
8851.05,31.42,85.86,7930.58,15/9-F-5
8983.60,31.03,84.46,8043.90,15/9-F-5
9105.97,30.68,81.14,8148.98,15/9-F-5
9151.67,30.65,80.78,8188.29,15/9-F-5
9283.37,30.89,78.69,8301.44,15/9-F-5
9405.77,30.86,77.5,8406.50,15/9-F-5
9528.90,31.2,77.01,8512.01,15/9-F-5
9558.10,31.86,76.7,8536.91,15/9-F-5
9583.33,32.14,76.57,8558.30,15/9-F-5
9605.22,32.38,76.45,8576.80,15/9-F-5
9693.44,34.03,71.62,8650.62,15/9-F-5
9826.84,36.51,61.44,8759.65,15/9-F-5
9962.01,36.77,55.01,8868.14,15/9-F-5
10094.19,37.73,48.33,8973.39,15/9-F-5
10226.87,37.11,43.61,9078.77,15/9-F-5
10359.22,35.73,34.79,9185.37,15/9-F-5
10488.98,34.2,28.91,9291.73,15/9-F-5
10619.65,31.59,21.36,9401.48,15/9-F-5
10675.16,30.18,19.04,9449.11,15/9-F-5
10755.71,28.32,16.57,9519.39,15/9-F-5
10889.04,30.91,22.37,9635.33,15/9-F-5
11021.03,34.92,27.52,9746.13,15/9-F-5
11149.84,40.44,30.9,9848.03,15/9-F-5
11284.61,44.73,31.42,9947.24,15/9-F-5
11415.09,47.93,28.18,10037.34,15/9-F-5
11549.70,50.65,26.17,10125.13,15/9-F-5
11679.36,53.98,23.14,10204.40,15/9-F-5
11816.44,54.71,22.31,10284.32,15/9-F-5
11949.05,54.84,22.15,10360.79,15/9-F-5
12081.46,55.13,22.24,10436.78,15/9-F-5
12214.17,53.47,22.04,10514.21,15/9-F-5
12341.77,52.67,22.04,10590.88,15/9-F-5
12434.71,52.67,22.04,10647.24,15/9-F-5
12440.94,52.67,22.04,10651.02,15/9-F-5
