MD_ft,Deviation,Azimuth,TVD_ft,WellName
478.67,0,0,478.67,15/9-F-14
508.83,0.18,5.42,508.83,15/9-F-14
641.21,0.33,37.78,641.21,15/9-F-14
645.67,0.34,39,645.67,15/9-F-14
773.62,0.61,58.22,773.62,15/9-F-14
906.17,1.55,62.5,906.14,15/9-F-14
1038.71,1.55,67.03,1038.65,15/9-F-14
1170.93,1.9,71.62,1170.80,15/9-F-14
1303.48,3.61,88.22,1303.18,15/9-F-14
1436.02,4.31,83.62,1435.40,15/9-F-14
1568.24,4,69.33,1567.29,15/9-F-14
1700.79,3.37,50.31,1699.57,15/9-F-14
1833.01,2.15,26.9,1831.63,15/9-F-14
1965.55,0.79,14.51,1964.14,15/9-F-14
2098.10,0.26,72.65,2096.65,15/9-F-14
2230.31,0.26,75.13,2228.87,15/9-F-14
2362.86,0.27,77.66,2361.42,15/9-F-14
2495.08,0.29,85.64,2493.64,15/9-F-14
2627.62,0.35,107.43,2626.18,15/9-F-14
2760.17,0.47,160.22,2758.73,15/9-F-14
2892.72,0.48,160.6,2891.27,15/9-F-14
3024.93,0.35,168.3,3023.49,15/9-F-14
3157.48,0.26,163.24,3156.04,15/9-F-14
3290.03,0.22,163.51,3288.58,15/9-F-14
3422.57,0.23,170.57,3421.13,15/9-F-14
3533.14,0.25,209.54,3531.69,15/9-F-14
3554.79,0.26,215.79,3553.35,15/9-F-14
3687.34,0.26,211.34,3685.89,15/9-F-14
3819.55,0.2,193.67,3818.11,15/9-F-14
3952.10,0.19,177.78,3950.66,15/9-F-14
4084.65,0.19,174.09,4083.20,15/9-F-14
4217.19,0.19,173.14,4215.75,15/9-F-14
4349.74,0.19,171.51,4348.29,15/9-F-14
4481.96,0.18,125.54,4480.51,15/9-F-14
4614.50,0.18,123.89,4613.06,15/9-F-14
4746.72,0.18,125.43,4745.28,15/9-F-14
4879.27,0.18,125.43,4877.79,15/9-F-14
5011.48,0.18,127.74,5010.01,15/9-F-14
5144.03,0.18,129.47,5142.55,15/9-F-14
5262.47,0.18,129.47,5260.99,15/9-F-14
5276.25,0.18,129.69,5274.77,15/9-F-14
5408.79,0.19,223.96,5407.32,15/9-F-14
5541.34,0.19,223.56,5539.86,15/9-F-14
5673.56,0.19,225.71,5672.08,15/9-F-14
5806.10,0.19,224.86,5804.63,15/9-F-14
5938.32,0.19,226.63,5936.84,15/9-F-14
6070.87,0.19,227.97,6069.39,15/9-F-14
6203.41,0.19,260.83,6201.94,15/9-F-14
6335.63,0.19,261.93,6334.15,15/9-F-14
6468.18,0.19,263.57,6466.70,15/9-F-14
6600.39,0.19,258.37,6598.92,15/9-F-14
6733.92,0.19,238.2,6732.45,15/9-F-14
6865.16,0.16,275.09,6863.68,15/9-F-14
6997.70,1.74,12.52,6996.23,15/9-F-14
7129.92,3.98,16.68,7128.25,15/9-F-14
7262.47,7.98,18.75,7260.04,15/9-F-14
7394.69,8.15,20.38,7390.98,15/9-F-14
7465.22,8.25,21.17,7460.79,15/9-F-14
7527.23,8.34,21.84,7522.15,15/9-F-14
7659.45,10.09,24.04,7652.66,15/9-F-14
7791.99,12.41,27.18,7782.64,15/9-F-14
7924.21,14.84,28.1,7911.12,15/9-F-14
8057.09,17.2,31.13,8038.85,15/9-F-14
8189.30,19.35,41.69,8164.40,15/9-F-14
8321.85,23.77,49.56,8287.66,15/9-F-14
8454.40,28.22,56.01,8406.82,15/9-F-14
8586.94,32.3,55.37,8521.26,15/9-F-14
8713.58,35.58,54.59,8626.31,15/9-F-14
8772.64,37.39,54.82,8673.79,15/9-F-14
8881.14,39.85,55.29,8758.56,15/9-F-14
9012.99,40.19,55.74,8859.55,15/9-F-14
9132.22,39.66,55.1,8950.98,15/9-F-14
9154.82,39.56,54.98,8968.41,15/9-F-14
9287.24,43.81,57.3,9067.26,15/9-F-14
9418.21,49.28,59.12,9157.32,15/9-F-14
9552.23,54.4,59.01,9240.09,15/9-F-14
9681.10,60.08,58.76,9309.81,15/9-F-14
9814.60,64.34,59.52,9372.01,15/9-F-14
9948.06,66.85,65.62,9427.20,15/9-F-14
10081.33,69.7,71.1,9476.57,15/9-F-14
10211.42,71.9,73.97,9519.36,15/9-F-14
10346.23,74.71,74.92,9558.07,15/9-F-14
10477.89,77.75,78.46,9589.44,15/9-F-14
10607.64,80.75,81.97,9613.62,15/9-F-14
10739.17,81.08,85.25,9634.42,15/9-F-14
10875.89,76.91,85.46,9660.50,15/9-F-14
11008.43,71.94,85.7,9696.06,15/9-F-14
11141.50,71.34,85.44,9737.99,15/9-F-14
11273.46,67.98,86.53,9783.86,15/9-F-14
11405.84,65.26,89.03,9836.38,15/9-F-14
11531.40,61.86,89.99,9892.29,15/9-F-14
11666.50,57.08,91.4,9960.89,15/9-F-14
11798.65,51.69,92.76,10037.83,15/9-F-14
11935.93,48.65,94.05,10125.75,15/9-F-14
12068.21,49.69,93.65,10212.24,15/9-F-14
12122.70,49.89,93.71,10247.41,15/9-F-14
12200.92,50.17,93.8,10297.67,15/9-F-14
12237.07,50.26,93.74,10320.80,15/9-F-14
12303.15,50.26,93.74,10363.02,15/9-F-14
