MD_ft,Deviation,Azimuth,TVD_ft,WellName
5587.270341,23.73,252.87,5431.856955,15/9-F-12
5620.07874,23.78,252.93,5461.87664,15/9-F-12
5652.887139,23.76,252.96,5491.929134,15/9-F-12
5685.695538,23.71,252.97,5521.948819,15/9-F-12
5718.503937,23.7,253.01,5552.001312,15/9-F-12
5751.312336,23.68,253.05,5582.020997,15/9-F-12
5784.120735,23.63,252.9,5612.073491,15/9-F-12
5816.929134,23.56,252.97,5642.158793,15/9-F-12
5849.737533,23.5,252.85,5672.244094,15/9-F-12
5882.545932,23.4,252.68,5702.329396,15/9-F-12
5915.354331,23.37,252.68,5732.447507,15/9-F-12
5948.16273,23.36,252.63,5762.565617,15/9-F-12
5980.971129,23.39,252.65,5792.683727,15/9-F-12
6013.779528,23.45,252.52,5822.769029,15/9-F-12
6046.587927,23.48,252.56,5852.887139,15/9-F-12
6079.396325,23.41,252.72,5882.972441,15/9-F-12
6112.204724,23.39,252.72,5913.090551,15/9-F-12
6145.013123,23.47,252.78,5943.175853,15/9-F-12
6177.821522,23.51,252.91,5973.293963,15/9-F-12
6210.629921,23.49,253.11,6003.379265,15/9-F-12
6243.43832,23.5,253.09,6033.464567,15/9-F-12
6276.246719,23.55,253.15,6063.549869,15/9-F-12
6309.055118,23.58,253.33,6093.602362,15/9-F-12
6341.863517,23.56,253.55,6123.687664,15/9-F-12
6374.671916,23.58,253.6,6153.740157,15/9-F-12
6407.480315,23.57,253.53,6183.825459,15/9-F-12
6440.288714,23.19,253.55,6213.94357,15/9-F-12
6473.097113,22.48,253.5,6244.160105,15/9-F-12
6505.905512,21.77,253.27,6274.573491,15/9-F-12
6538.713911,21.15,252.84,6305.085302,15/9-F-12
6571.52231,20.52,252.07,6335.761155,15/9-F-12
6604.330709,19.83,251.05,6366.568241,15/9-F-12
6637.139108,19.24,249.89,6397.473753,15/9-F-12
6669.947507,18.67,248.97,6428.510499,15/9-F-12
6702.755906,18.09,248.27,6459.645669,15/9-F-12
6735.564304,17.42,247.76,6490.879265,15/9-F-12
6768.372703,16.64,247.57,6522.244094,15/9-F-12
6801.181102,15.74,247.32,6553.772966,15/9-F-12
6833.989501,14.82,246.86,6585.400262,15/9-F-12
6866.7979,14.11,246.33,6617.191601,15/9-F-12
6899.606299,13.55,245.78,6649.048556,15/9-F-12
6932.414698,12.56,245.14,6681.003937,15/9-F-12
6965.223097,11.76,244.3,6713.057743,15/9-F-12
6998.031496,11.3,243.19,6745.209974,15/9-F-12
7030.839895,10.9,242,6777.395013,15/9-F-12
7063.648294,10.37,240.37,6809.645669,15/9-F-12
7096.456693,9.96,237.45,6841.961942,15/9-F-12
7129.265092,9.68,233.8,6874.278215,15/9-F-12
7162.073491,9.51,229.85,6906.627297,15/9-F-12
7194.88189,9.3,225.13,6938.976378,15/9-F-12
7227.690289,9.2,220.24,6971.358268,15/9-F-12
7260.498688,9.1,215.05,7003.772966,15/9-F-12
7293.307087,9.02,209.82,7036.154856,15/9-F-12
7326.115486,8.95,204.57,7068.569554,15/9-F-12
7358.923885,8.91,199.61,7100.984252,15/9-F-12
7391.732283,8.98,195.16,7133.39895,15/9-F-12
7424.540682,9.11,189.99,7165.78084,15/9-F-12
7457.349081,9.31,184.67,7198.195538,15/9-F-12
7490.15748,9.55,179.31,7230.544619,15/9-F-12
7522.965879,9.88,174.47,7262.893701,15/9-F-12
7555.774278,10.25,171.03,7295.177165,15/9-F-12
7588.582677,10.48,167.42,7327.46063,15/9-F-12
7621.391076,10.69,163.89,7359.711286,15/9-F-12
7654.199475,10.99,161.52,7391.929134,15/9-F-12
7687.007874,11.41,158.88,7424.114173,15/9-F-12
7719.816273,11.77,156.24,7456.266404,15/9-F-12
7752.624672,12.25,153.98,7488.353018,15/9-F-12
7785.433071,12.79,151.93,7520.374016,15/9-F-12
7818.24147,13.35,149.87,7552.329396,15/9-F-12
7851.049869,14.04,147.61,7584.21916,15/9-F-12
7883.858268,14.66,145.72,7615.97769,15/9-F-12
7916.666667,15.34,143.81,7647.670604,15/9-F-12
7949.475066,15.89,141.95,7679.2979,15/9-F-12
7982.283465,16.32,140.28,7710.793963,15/9-F-12
8015.091864,16.72,138.81,7742.257218,15/9-F-12
8047.900262,17.17,136.78,7773.654856,15/9-F-12
8080.708661,17.67,134.92,7804.954068,15/9-F-12
8085.793963,17.75,134.64,7809.776903,15/9-F-12
8181.56168,18.8,129.52,7900.721785,15/9-F-12
8320.439633,20.39,125.56,8031.56168,15/9-F-12
8454.691601,21.7,125.92,8156.856955,15/9-F-12
8588.976378,26.34,124.65,8279.494751,15/9-F-12
8721.456693,30.56,121.61,8395.931759,15/9-F-12
8855.216535,33.11,117.41,8509.580052,15/9-F-12
8985.66273,35.52,115.77,8617.322835,15/9-F-12
9118.307087,41.25,113.83,8721.259843,15/9-F-12
9252.034121,45.33,112.36,8818.569554,15/9-F-12
9383.267717,49.2,108.88,8907.644357,15/9-F-12
9515.912073,51.78,104.36,8992.027559,15/9-F-12
9644.750656,53.48,102.53,9070.242782,15/9-F-12
9777.854331,54.35,103.04,9148.654856,15/9-F-12
9870.767717,54.95,103.4,9202.395013,15/9-F-12
10041.43701,54.55,99.95,9300.918635,15/9-F-12
10109.08793,54.06,97.21,9340.387139,15/9-F-12
10290.68241,53.84,95.71,9447.276903,15/9-F-12
10408.49738,53.9,98.14,9516.732283,15/9-F-12
10552.46063,53.86,101.3,9601.607612,15/9-F-12
10685.85958,53.34,103.39,9680.774278,15/9-F-12
10818.17585,53.81,105.77,9759.350394,15/9-F-12
10950.22966,53.1,107.03,9837.992126,15/9-F-12
11074.17979,53.01,106.59,9912.5,15/9-F-12
11209.15354,53.14,107.02,9993.569554,15/9-F-12
11339.0748,52.97,106.74,10071.65354,15/9-F-12
11468.24147,52.87,105.59,10149.54068,15/9-F-12
11548.55643,52.87,105.59,10198.0315,15/9-F-12
