MD_ft,Deviation,Azimuth,TVD_ft,WellName
478.6745407,0,0,478.6745407,15/9-F-12
570.8661417,0.12,166.21,570.8661417,15/9-F-12
669.2913386,0.08,159.79,669.2913386,15/9-F-12
767.7165354,0.15,113.27,767.7165354,15/9-F-12
866.1417323,0.25,94.15,866.1417323,15/9-F-12
964.5669291,0.34,83.77,964.5669291,15/9-F-12
1062.992126,0.36,81.51,1062.992126,15/9-F-12
1161.417323,0.46,79.36,1161.417323,15/9-F-12
1259.84252,0.65,66.92,1259.84252,15/9-F-12
1358.267717,1.09,38.86,1358.234908,15/9-F-12
1456.692913,2.91,27.73,1456.594488,15/9-F-12
1555.11811,4.85,26.01,1554.790026,15/9-F-12
1653.543307,6.49,27.94,1652.755906,15/9-F-12
1751.968504,7.69,30.42,1750.426509,15/9-F-12
1850.393701,6.95,32.03,1848.031496,15/9-F-12
1948.818898,5.54,30.06,1945.866142,15/9-F-12
2047.244094,4.9,17.77,2043.897638,15/9-F-12
2145.669291,5.08,0.38,2141.961942,15/9-F-12
2244.094488,5.95,334.67,2239.927822,15/9-F-12
2342.519685,6.39,320.18,2337.795276,15/9-F-12
2440.944882,6.8,303.74,2435.564304,15/9-F-12
2539.370079,8.44,288.2,2533.136483,15/9-F-12
2637.795276,11.14,278.45,2630.11811,15/9-F-12
2736.220472,13.14,272.24,2726.345144,15/9-F-12
2834.645669,14.81,266.26,2821.883202,15/9-F-12
2929.790026,14.99,264.04,2913.812336,15/9-F-12
2962.598425,14.51,263.13,2945.538058,15/9-F-12
2995.406824,14.08,262.05,2977.329396,15/9-F-12
3028.215223,13.81,261.01,3009.186352,15/9-F-12
3061.023622,13.78,260.55,3041.043307,15/9-F-12
3093.832021,13.86,260.53,3072.900262,15/9-F-12
3126.64042,13.96,260.58,3104.757218,15/9-F-12
3159.448819,14.13,261.38,3136.581365,15/9-F-12
3192.257218,14.43,263.23,3168.372703,15/9-F-12
3225.065617,14.7,264.88,3200.131234,15/9-F-12
3257.874016,14.91,265.8,3231.824147,15/9-F-12
3290.682415,15.04,266.46,3263.51706,15/9-F-12
3323.490814,15.13,267.49,3295.209974,15/9-F-12
3356.299213,15.14,268.09,3326.870079,15/9-F-12
3389.107612,15.07,268.61,3358.562992,15/9-F-12
3421.91601,14.54,269.28,3390.288714,15/9-F-12
3454.724409,14.23,269.64,3422.047244,15/9-F-12
3487.532808,14.15,269.65,3453.871391,15/9-F-12
3520.341207,14.22,269.22,3485.66273,15/9-F-12
3553.149606,14.38,267.93,3517.454068,15/9-F-12
3585.958005,14.59,265.82,3549.245407,15/9-F-12
3618.766404,14.67,263.48,3580.971129,15/9-F-12
3651.574803,14.82,260.96,3612.69685,15/9-F-12
3684.383202,15.14,258.59,3644.389764,15/9-F-12
3717.191601,15.71,256.39,3676.01706,15/9-F-12
3750,16.43,254.47,3707.545932,15/9-F-12
3782.808399,17.58,252.27,3738.910761,15/9-F-12
3815.616798,18.82,250.54,3770.07874,15/9-F-12
3848.425197,19.84,248.95,3801.049869,15/9-F-12
3881.233596,20.52,248.22,3831.856955,15/9-F-12
3914.041995,20.78,248.08,3862.532808,15/9-F-12
3946.850394,20.87,248,3893.208661,15/9-F-12
3979.658793,20.57,248.5,3923.884514,15/9-F-12
4012.467192,19.87,249.42,3954.691601,15/9-F-12
4045.275591,19.22,250.72,3985.597113,15/9-F-12
4078.08399,18.88,251.85,4016.60105,15/9-F-12
4110.892388,18.83,252.46,4047.670604,15/9-F-12
4143.700787,19.07,252.6,4078.674541,15/9-F-12
4176.509186,19.35,252.6,4109.678478,15/9-F-12
4209.317585,19.47,252.47,4140.616798,15/9-F-12
4242.125984,19.09,252.04,4171.587927,15/9-F-12
4274.934383,17.98,251.23,4202.690289,15/9-F-12
4307.742782,16.56,250.46,4234.02231,15/9-F-12
4340.551181,15.24,250.09,4265.551181,15/9-F-12
4373.35958,14.36,250.04,4297.276903,15/9-F-12
4406.167979,14.09,249.89,4329.10105,15/9-F-12
4438.976378,14.2,248.89,4360.892388,15/9-F-12
4471.784777,14.61,247.86,4392.683727,15/9-F-12
4504.593176,15.35,247.18,4424.37664,15/9-F-12
4537.401575,16.31,246.75,4455.93832,15/9-F-12
4570.209974,17.11,246.17,4487.368766,15/9-F-12
4603.018373,17.79,245.4,4518.667979,15/9-F-12
4635.826772,18.5,244.47,4549.835958,15/9-F-12
4668.635171,19.4,243.27,4580.872703,15/9-F-12
4701.44357,20.36,242.01,4611.712598,15/9-F-12
4734.251969,21.22,240.96,4642.388451,15/9-F-12
4767.060367,22.14,239.94,4672.867454,15/9-F-12
4799.868766,22.83,239.04,4703.182415,15/9-F-12
4832.677165,22.85,238.62,4733.431759,15/9-F-12
4865.485564,22.44,238.58,4763.713911,15/9-F-12
4898.293963,21.71,239.22,4794.094488,15/9-F-12
4931.102362,21.01,240.26,4824.671916,15/9-F-12
4963.910761,20.67,241.23,4855.314961,15/9-F-12
4996.71916,20.66,242.19,4886.023622,15/9-F-12
5029.527559,20.83,243.57,4916.699475,15/9-F-12
5062.335958,20.97,245.58,4947.34252,15/9-F-12
5095.144357,21.13,247.64,4977.985564,15/9-F-12
5127.952756,21.38,249.38,5008.562992,15/9-F-12
5160.761155,21.64,251.07,5039.074803,15/9-F-12
5193.569554,21.87,252.47,5069.553806,15/9-F-12
5226.377953,22.08,253.27,5099.967192,15/9-F-12
5259.186352,22.29,253.5,5130.347769,15/9-F-12
5291.994751,22.47,253.52,5160.695538,15/9-F-12
5324.80315,22.66,253.41,5190.97769,15/9-F-12
5357.611549,22.93,253.25,5221.227034,15/9-F-12
5390.419948,23.2,253.11,5251.410761,15/9-F-12
5423.228346,23.4,252.96,5281.56168,15/9-F-12
5456.036745,23.53,252.89,5311.646982,15/9-F-12
5488.845144,23.59,252.88,5341.732283,15/9-F-12
5521.653543,23.66,252.91,5371.784777,15/9-F-12
5554.461942,23.7,252.85,5401.83727,15/9-F-12
