WELL,DEPTH,FACIES,FORMATION,GR,HC,ILD,NPHI,PERM,PHIE,RHOB,SW,VSH
15/9-F-14,2900.0,,Hidra Fm,16.9895,1.0,2.6174,0.2176,15.0836,0.210879,2.349,0.795254,0.0243049
15/9-F-14,2902.5,,Hidra Fm,16.7683,0.0,2.7746,0.2099,10.6229,0.19812,2.3821,0.821963,0.0225065
15/9-F-14,2905.0,,Hidra Fm,16.726,0.0,2.8593,0.2177,8.45789,0.190399,2.4265,0.842074,0.0221626
15/9-F-14,2907.5,,Hidra Fm,17.4821,0.0,2.882,0.2057,5.11823,0.175402,2.4553,0.905715,0.0283098
15/9-F-14,2910.0,,Hidra Fm,17.2797,0.0,2.8489,0.2022,5.24818,0.176554,2.445,0.906161,0.0266642
15/9-F-14,2912.5,,Hidra Fm,15.9303,0.0,2.6491,0.2195,7.72644,0.190616,2.4329,0.877485,0.0156935
15/9-F-14,2915.0,,Roedby Fm,14.0657,0.0,2.3991,0.2282,8.97613,0.19953,2.4254,0.888601,5.34143E-4
15/9-F-14,2917.5,,Roedby Fm,14.2157,0.0,2.1688,0.2527,11.903,0.211528,2.4275,0.881075,0.00175366
15/9-F-14,2920.0,,Roedby Fm,14.9877,0.0,2.0614,0.2487,8.45264,0.201669,2.4525,0.945023,0.00803008
15/9-F-14,2922.5,,Roedby Fm,15.6539,0.0,2.1535,0.2408,7.0719,0.194387,2.4612,0.95634,0.0134463
15/9-F-14,2925.0,,Aasgard Fm,15.4599,0.0,2.2704,0.2414,7.18511,0.193414,2.4668,0.936625,0.0118691
15/9-F-14,2927.5,,Aasgard Fm,16.1856,0.0,2.2177,0.2503,9.70945,0.202781,2.446,0.901572,0.0177691
15/9-F-14,2930.0,,Aasgard Fm,16.0417,0.0,2.0703,0.2446,8.09803,0.199411,2.4482,0.949544,0.0165992
15/9-F-14,2932.5,,Aasgard Fm,15.8167,0.0,1.9941,0.2308,6.11341,0.191853,2.4507,1.0,0.0147699
15/9-F-14,2935.0,,Aasgard Fm,15.6745,0.0,1.9691,0.2536,7.85725,0.200308,2.4636,0.970821,0.0136138
15/9-F-14,2937.5,,Aasgard Fm,16.9328,0.0,2.0191,0.2519,6.96928,0.194943,2.4743,0.97989,0.0238439
15/9-F-14,2940.0,,Aasgard Fm,17.0296,0.0,2.0893,0.2426,6.75462,0.192897,2.4638,0.972772,0.0246309
15/9-F-14,2942.5,,Aasgard Fm,17.7549,0.0,2.1334,0.2482,6.88404,0.19229,2.4733,0.9626,0.0305276
15/9-F-14,2945.0,,Aasgard Fm,17.7319,0.0,2.1633,0.268,12.5685,0.210596,2.4438,0.873982,0.0303406
15/9-F-14,2947.5,,Aasgard Fm,18.757,0.0,2.2161,0.2309,5.25689,0.182605,2.4715,0.988934,0.0386748
15/9-F-14,2950.0,,Aasgard Fm,18.6093,0.0,2.3302,0.205,4.06726,0.173436,2.456,1.0,0.037474
15/9-F-14,2952.5,,Aasgard Fm,17.6849,0.0,2.5114,0.1681,2.15424,0.151114,2.4701,1.0,0.0299585
15/9-F-14,2955.0,,Aasgard Fm,16.7348,0.0,2.6238,0.1337,1.85561,0.146702,2.4351,1.0,0.0222341
15/9-F-14,2957.5,,Aasgard Fm,14.9706,0.0,2.5101,0.1511,1.44228,0.139613,2.492,1.0,0.00789106
15/9-F-14,2960.0,,Aasgard Fm,14.623,0.0,2.5696,0.1452,1.20387,0.134288,2.5019,1.0,0.00506504
15/9-F-14,2962.5,,Aasgard Fm,14.9692,0.0,2.5386,0.1453,0.9989,0.12867,2.5227,1.0,0.00787968
15/9-F-14,2965.0,,Aasgard Fm,15.3059,0.0,2.405,0.1414,1.03645,0.12957,2.5088,1.0,0.0106171
15/9-F-14,2967.5,,Aasgard Fm,15.9994,0.0,2.2647,0.1372,0.907558,0.125483,2.5122,1.0,0.0162553
15/9-F-14,2970.0,,Aasgard Fm,16.0103,0.0,2.233,0.1343,0.794185,0.121812,2.5204,1.0,0.0163439
15/9-F-14,2972.5,,Aasgard Fm,16.4365,0.0,2.3377,0.1359,0.716621,0.118875,2.5337,1.0,0.0198089
15/9-F-14,2975.0,,Aasgard Fm,16.4836,0.0,2.5435,0.1334,0.638021,0.115825,2.5402,1.0,0.0201919
15/9-F-14,2977.5,,Aasgard Fm,16.3176,0.0,2.4952,0.1345,0.65997,0.116771,2.5397,1.0,0.0188423
15/9-F-14,2980.0,,Draupne Fm,16.917,0.0,2.483,0.1359,0.680187,0.117296,2.5376,1.0,0.0237154
