WELL,DEPTH,PHIE,prediction,error,abs_error_decile,relative_error
15/9-F-1,3325.1,0.04126830000000001,0.04210347,8.351693717956465E-4,0,0.020237552111321434
15/9-F-1,3325.2,0.0547344,0.058458745,0.0037243454795837377,0,0.06804396283842953
15/9-F-1,3325.3,0.0764073,0.075154275,-0.0012530252979278539,0,-0.016399287737269265
15/9-F-1,3325.4,0.09486460000000001,0.089633375,-0.0052312245937347485,0,-0.055144116917530336
15/9-F-1,3325.5,0.110801,0.08527726,-0.025523740650177,2,-0.2303565910973457
15/9-F-1,3325.6,0.12247000000000001,0.12729988,0.0048298750209808256,0,0.0394372092837497
15/9-F-1,3325.7,0.131296,0.12793413,-0.0033618719539642294,0,-0.02560528846243777
15/9-F-1,3325.8,0.135507,0.13419971,-0.0013072912998199349,0,-0.00964740788165877
15/9-F-1,3325.9,0.135116,0.13130501,-0.003810990873336806,0,-0.028205326336901666
15/9-F-1,3326.0,0.13531500000000002,0.12969807,-0.005616932096481342,0,-0.04151004764055235
15/9-F-1,3326.1,0.13541199999999998,0.11779526,-0.017616741239547706,1,-0.1300973417388984
15/9-F-1,3326.2,0.135105,0.128389,-0.006715999107360843,0,-0.04970947860819987
15/9-F-1,3326.3,0.137237,0.11767644,-0.01956056309890747,1,-0.14253126415549355
15/9-F-1,3326.4,0.139779,0.13131231,-0.008466689304351793,0,-0.060571969354136126
15/9-F-1,3326.5,0.144351,0.1568872,0.012536203454971306,1,0.08684528305984236
15/9-F-1,3326.6,0.147848,0.15457466,0.006726662446975701,0,0.0454971487404341
15/9-F-1,3326.7,0.15004,0.14641848,-0.003621517934799201,0,-0.02413701636096508
15/9-F-1,3326.8,0.150782,0.1550389,0.0042568932228088385,0,0.028232104779143653
15/9-F-1,3326.9,0.153316,0.15509906,0.001783064111709587,0,0.01162999368434858
15/9-F-1,3327.0,0.153334,0.1618349,0.008500895610809328,0,0.05544038250361517
15/9-F-1,3327.1,0.151056,0.15778744,0.00673144220733643,0,0.04456256095313281
15/9-F-1,3327.2,0.143581,0.15289363,0.00931263265037538,0,0.06485978402696305
15/9-F-1,3327.3,0.136164,0.14664727,0.010483274494171135,0,0.07699005973804482
15/9-F-1,3327.4,0.128769,0.15053394,0.021764944368362432,1,0.16902316837408407
15/9-F-1,3327.5,0.11680499999999999,0.14756152,0.03075652033805848,2,0.2633151007068061
15/9-F-1,3327.6,0.11331,0.12640378,0.013093778791427618,1,0.11555713345183673
15/9-F-1,3327.7,0.113427,0.12211412,0.008687121913909912,0,0.07658777816489823
15/9-F-1,3327.8,0.116928,0.11017418,-0.006753820922851567,0,-0.05776051008185863
15/9-F-1,3327.9,0.121116,0.11558953,-0.005526470724105836,0,-0.045629567721075966
15/9-F-1,3328.0,0.126446,0.117893934,-0.008552065750122073,0,-0.06763413433498942
15/9-F-1,3328.1,0.13323800000000002,0.12489623,-0.008341771686553978,0,-0.06260805240662556
15/9-F-1,3328.2,0.13930499999999998,0.13308182,-0.006223176412582382,0,-0.04467302977339207
15/9-F-1,3328.3,0.145492,0.13983017,-0.005661827938079844,0,-0.03891504644983809
15/9-F-1,3328.4,0.150422,0.12961629,-0.02080570966911316,1,-0.13831560323033307
15/9-F-1,3328.5,0.152393,0.14434907,-0.008043931596755982,0,-0.052784127858602314
15/9-F-1,3328.6,0.161429,0.14764225,-0.013786745170593251,1,-0.08540438936370325
15/9-F-1,3328.7,0.169668,0.1600453,-0.009622704046249403,0,-0.05671490231657945
15/9-F-1,3328.8,0.171401,0.14555046,-0.025850540376663206,2,-0.15081907559852747
15/9-F-1,3328.9,0.174543,0.14867258,-0.025870419281005863,2,-0.14821802811344978
15/9-F-1,3329.0,0.17919100000000002,0.15085071,-0.028340286746978777,2,-0.15815686472523047
15/9-F-1,3329.1,0.18199300000000002,0.12691602,-0.0550769788913727,4,-0.3026324028472122
15/9-F-1,3329.2,0.183264,0.14780146,-0.035462541164398204,2,-0.19350522287191266
15/9-F-1,3329.3,0.18551800000000002,0.14787644,-0.03764155852127077,3,-0.2028997645579985
15/9-F-1,3329.4,0.184522,0.13747609,-0.04704591338348388,3,-0.2549609985989957
15/9-F-1,3329.5,0.180531,0.1480093,-0.0325216997680664,2,-0.18014468300771835
15/9-F-1,3329.6,0.174627,0.14109865,-0.03352835169029236,2,-0.1919998149787396
15/9-F-1,3329.7,0.164626,0.14505583,-0.01957016952133178,1,-0.11887654150214293
15/9-F-1,3329.8,0.159788,0.14479077,-0.014997231376647963,1,-0.0938570567041828
