WELL,DEPTH,PERM,prediction,error,abs_error_decile,relative_error
15/9-F-1,3319.3,0.0,4.874019760958492,4.874019760958492,0,
15/9-F-1,3319.4,0.0,5.001506320522962,5.001506320522962,0,
15/9-F-1,3319.5,0.0,5.139407703524208,5.139407703524208,0,
15/9-F-1,3319.6,0.0,5.422882112450164,5.422882112450164,0,
15/9-F-1,3319.7,0.0,5.437281939241571,5.437281939241571,0,
15/9-F-1,3320.0,1.81057E-4,5.869767510868018,5.869586453868018,0,32418.44531759621
15/9-F-1,3320.1,0.00766825,6.184836225437769,6.177167975437769,0,805.5511981792155
15/9-F-1,3320.5,0.928214,70.78544443743205,69.85723043743205,0,75.2598327944117
15/9-F-1,3320.6,1.2800799999999999,90.02300766327303,88.74292766327304,0,69.32607935697226
15/9-F-1,3320.9,2.1918599999999997,70.8228467885952,68.6309867885952,0,31.311756585089924
15/9-F-1,3321.1,5.65388,125.62330004938023,119.96942004938023,0,21.218954072138114
15/9-F-1,3321.3,11.6843,189.52096743448223,177.83666743448222,0,15.220138770356993
15/9-F-1,3321.8,5.705419999999999,196.2916168588636,190.5861968588636,0,33.404411394579824
15/9-F-1,3322.7,6.45001,27.910883849777957,21.460873849777958,0,3.327262104985567
15/9-F-1,3322.8,4.3971599999999995,18.69858378308408,14.30142378308408,0,3.252422878195035
15/9-F-1,3323.1,1.7843799999999999,19.417772553395253,17.633392553395254,0,9.882083722859063
15/9-F-1,3323.4,0.056736,18.74476471996521,18.68802871996521,0,329.3857289897985
15/9-F-1,3323.5,0.0,3.5965515354497137,3.5965515354497137,0,
15/9-F-1,3323.9,0.0,3.543381767970906,3.543381767970906,0,
15/9-F-1,3324.2,0.00697327,3.788193073358168,3.781219803358168,0,542.2448583459651
15/9-F-1,3324.3,8.47546E-4,3.764362258885223,3.7635147128852227,0,4440.484307500977
15/9-F-1,3326.0,0.0387756,27.42900526867597,27.390229668675968,0,706.3779714221306
15/9-F-1,3326.8,22.7809,198.03397924199066,175.25307924199066,0,7.69298312366898
15/9-F-1,3326.9,18.2029,214.30099370823558,196.09809370823558,0,10.772903971797657
15/9-F-1,3328.1,8.34047,71.57834654877259,63.23787654877259,0,7.582051916591342
15/9-F-1,3328.9,4.51428,87.1778697801329,82.6635897801329,0,18.311577877343208
15/9-F-1,3329.4,9.4575,75.88598706515828,66.42848706515828,0,7.023895010854695
15/9-F-1,3329.7,17.2241,73.9866773774692,56.762577377469206,0,3.2955322703345433
15/9-F-1,3330.0,26.1072,78.91287851982983,52.80567851982983,0,2.022648101666584
15/9-F-1,3330.3,50.8346,182.07634716260583,131.24174716260583,0,2.581740530320015
15/9-F-1,3330.5,39.1394,169.83439995369693,130.69499995369694,0,3.3392182801396273
15/9-F-1,3330.8,16.7099,124.76173017370344,108.05183017370344,0,6.466336134489341
15/9-F-1,3331.3,9.5408,59.71002840108936,50.169228401089356,0,5.258388017890465
15/9-F-1,3331.5,11.2951,57.32746378481501,46.03236378481501,0,4.07542773280582
15/9-F-1,3332.0,13.1515,68.3262274129987,55.174727412998706,0,4.1953182080370075
15/9-F-1,3332.2,19.0697,140.97491950009834,121.90521950009834,0,6.392613386686646
15/9-F-1,3332.3,19.5108,149.44068489875838,129.9298848987584,0,6.659382746927773
15/9-F-1,3332.9,29.2074,206.2702392977104,177.06283929771038,0,6.062259540312057
15/9-F-1,3333.2,40.6113,219.62344452911566,179.01214452911566,0,4.40793928116351
15/9-F-1,3333.6,39.876,218.74597441465593,178.86997441465593,0,4.485654890527032
15/9-F-1,3333.9,7.25272,167.96905577664123,160.71633577664122,0,22.159456835041365
15/9-F-1,3334.0,5.70932,166.5921351960436,160.88281519604362,0,28.178980193095434
15/9-F-1,3334.2,2.73002,105.91937255434624,103.18935255434624,0,37.798020730377885
15/9-F-1,3334.3,1.89525,72.30759567465942,70.41234567465942,0,37.15200932576674
15/9-F-1,3334.5,1.86253,74.38866382654761,72.5261338265476,0,38.93957886667469
15/9-F-1,3335.1,0.06903939999999999,15.70008525771065,15.631045857710651,0,226.4076144594341
15/9-F-1,3336.0,2.36477,86.92045798174772,84.55568798174772,0,35.75641097516787
15/9-F-1,3336.3,5.80785,120.54439724056446,114.73654724056446,0,19.75542537093149
15/9-F-1,3336.4,6.63995,115.95500295443037,109.31505295443037,0,16.463234354841585
15/9-F-1,3337.4,39.1811,91.18875074566132,52.00765074566132,0,1.3273657642501442
15/9-F-1,3338.9,27.1165,52.15595301069433,25.039453010694334,0,0.9234028363060991
15/9-F-1,3339.5,10.7469,52.16943878446779,41.42253878446779,0,3.8543709148189516
