WELL,DEPTH,SW,prediction,error,abs_error_decile,relative_error
15/9-F-1,3319.3,1.0,1.0035127,0.003512740135192871,0,0.003512740135192871
15/9-F-1,3319.4,1.0,0.97863555,-0.021364450454711914,0,-0.021364450454711914
15/9-F-1,3319.5,1.0,0.990542,-0.009458005428314209,0,-0.009458005428314209
15/9-F-1,3319.6,1.0,1.0040028,0.004002809524536133,0,0.004002809524536133
15/9-F-1,3319.7,1.0,0.9973874,-0.002612590789794922,0,-0.002612590789794922
15/9-F-1,3320.0,1.0,1.0083802,0.00838017463684082,0,0.00838017463684082
15/9-F-1,3320.1,1.0,0.998516,-0.0014839768409729004,0,-0.0014839768409729004
15/9-F-1,3320.5,0.609321,0.71669966,0.10737865982437134,2,0.17622675047203581
15/9-F-1,3320.6,0.562829,0.69076836,0.12793936109161375,2,0.22731479915145406
15/9-F-1,3320.9,0.603617,0.6500245,0.046407473667144816,0,0.07688231720966245
15/9-F-1,3321.1,0.53075,0.6233197,0.09256968545913691,1,0.1744129730742099
15/9-F-1,3321.3,0.407163,0.5204659,0.1133029104347229,2,0.2782740829464438
15/9-F-1,3321.8,0.456196,0.4356664,-0.020529587884902945,0,-0.04500168323462491
15/9-F-1,3322.7,0.6659430000000001,0.6982049,0.03226187499237054,0,0.048445399970223485
15/9-F-1,3322.8,0.731016,0.7081541,-0.02286191770172119,0,-0.031274168693600675
15/9-F-1,3323.1,0.69103,0.78334314,0.09231313631057736,1,0.133587740489671
15/9-F-1,3323.4,0.7331810000000001,0.7137553,-0.01942569041824349,0,-0.02649508159409953
15/9-F-1,3323.5,1.0,0.9792278,-0.020772218704223633,0,-0.020772218704223633
15/9-F-1,3323.9,1.0,0.9994427,-5.573034286499023E-4,0,-5.573034286499023E-4
15/9-F-1,3324.2,1.0,0.9679444,-0.03205561637878418,0,-0.03205561637878418
15/9-F-1,3324.3,1.0,0.97062546,-0.029374539852142334,0,-0.029374539852142334
15/9-F-1,3326.0,0.9066930000000001,0.7553737,-0.15131928364562997,2,-0.16689142151271705
15/9-F-1,3326.8,0.38947600000000004,0.44648734,0.05701133735084529,1,0.14637959040055173
15/9-F-1,3326.9,0.44189799999999996,0.43527687,-0.006621134040832477,0,-0.01498339897630783
15/9-F-1,3328.1,0.618323,0.9778809,0.3595578951377869,6,0.581504966074021
15/9-F-1,3328.9,0.62964,0.8783221,0.2486821244812012,4,0.39495922190648813
15/9-F-1,3329.4,0.6617930000000001,0.91411734,0.2523243362731933,4,0.3812738065727399
15/9-F-1,3329.7,0.6504260000000001,0.8844011,0.23397508299255365,4,0.3597259073169794
15/9-F-1,3330.0,0.639753,0.8674049,0.22765187813949583,4,0.3558433929024105
15/9-F-1,3330.3,0.5014109999999999,0.6435275,0.14211650778198248,2,0.2834331671662219
15/9-F-1,3330.5,0.528415,0.5434817,0.015066707572937044,0,0.02851302020748284
15/9-F-1,3330.8,0.5715279999999999,0.59623766,0.024709659454345778,0,0.043234381262765395
15/9-F-1,3331.3,0.692966,0.6836368,-0.009329215446472139,0,-0.013462731860541699
15/9-F-1,3331.5,0.6982970000000001,0.84877336,0.15047636025238031,2,0.21549048650127425
15/9-F-1,3332.0,0.661616,0.734376,0.0727600132789612,1,0.10997317670516009
15/9-F-1,3332.2,0.533201,0.5767019,0.04350087950134274,0,0.08158439219233035
15/9-F-1,3332.3,0.504487,0.53732127,0.032834269512176495,0,0.06508447098176265
15/9-F-1,3332.9,0.363373,0.6056828,0.24230979027938843,4,0.6668348784290203
15/9-F-1,3333.2,0.34884899999999996,0.5827359,0.2338868961105347,4,0.6704531075351648
15/9-F-1,3333.6,0.309875,0.37123737,0.06136236739158629,1,0.19802296858922563
15/9-F-1,3333.9,0.427492,0.6861751,0.25868310795593263,4,0.6051180091228202
15/9-F-1,3334.0,0.44584399999999996,0.66115093,0.21530693231201176,4,0.48291988299048944
15/9-F-1,3334.2,0.5310090000000001,0.59091055,0.05990155393218988,1,0.11280704080757552
15/9-F-1,3334.3,0.570008,0.64421046,0.07420245780181889,1,0.1301779234709318
