WELL,DEPTH,VSH,prediction,error,abs_error_decile
15/9-F-1,3353.6,0.261841,0.32024306,0.05840206058883668,0
15/9-F-1,3353.8,0.347393,0.35684586,0.009452855712890618,0
15/9-F-1,3354.1,0.306411,0.36915517,0.0627441685333252,0
15/9-F-1,3354.2,0.312178,0.33467034,0.022492335054397572,0
15/9-F-1,3354.5,0.305787,0.28302392,-0.022763076364517187,0
15/9-F-1,3356.8,0.334536,0.31808725,-0.016448750005722046,0
15/9-F-1,3357.3,0.287461,0.3003452,0.012884212221145608,0
15/9-F-1,3357.5,0.260997,0.32701567,0.06601866815376284,0
15/9-F-1,3358.0,0.237188,0.27043912,0.03325111814689635,0
15/9-F-1,3358.1,0.22134,0.2606796,0.03933960262298583,0
15/9-F-1,3358.5,0.214961,0.25761205,0.04265104957962035,0
15/9-F-1,3359.0,0.20601599999999998,0.2808259,0.07480991295242312,1
15/9-F-1,3359.7,0.225215,0.27219093,0.04697592845916748,0
15/9-F-1,3360.0,0.202782,0.22894037,0.026158367698669444,0
15/9-F-1,3360.9,0.192976,0.2220656,0.029089597772598258,0
15/9-F-1,3361.1,0.174652,0.22517422,0.05052221841621399,0
15/9-F-1,3361.2,0.187907,0.24438685,0.05647985178756715,0
15/9-F-1,3361.6,0.25542800000000004,0.24438685,-0.011041148212432905,0
15/9-F-1,3361.8,0.320394,0.25342897,-0.06696503419303895,0
15/9-F-1,3361.9,0.267937,0.24438685,-0.023550148212432842,0
15/9-F-1,3362.4,0.0733193,0.24768811,0.17436881464309692,2
15/9-F-1,3362.6,0.07474860000000001,0.25535294,0.1806043441356659,2
15/9-F-1,3363.1,0.0858413,0.19752017,0.11167886663551331,1
15/9-F-1,3363.8,0.33418000000000003,0.24386713,-0.09031287091255191,1
15/9-F-1,3364.3,0.36701300000000003,0.2808674,-0.08614560221481327,1
15/9-F-1,3365.5,0.226341,0.2822827,0.05594171007537843,0
15/9-F-1,3365.9,0.12526500000000002,0.42056963,0.29530462847709654,4
15/9-F-1,3367.0,0.292602,0.30850643,0.01590442919540408,0
15/9-F-1,3367.2,0.265858,0.2711764,0.005318397800445573,0
15/9-F-1,3367.4,0.278362,0.27081704,-0.007544958602905272,0
15/9-F-1,3367.6,0.29130300000000003,0.29193914,6.361393661498682E-4,0
15/9-F-1,3367.7,0.296252,0.29638827,1.3626847076414483E-4,0
15/9-F-1,3369.5,0.285857,0.2935353,0.00767829214859006,0
15/9-F-1,3370.1,0.272309,0.30803204,0.035723035827636695,0
15/9-F-1,3370.3,0.293149,0.301777,0.008628005195617683,0
15/9-F-1,3370.4,0.289157,0.31099474,0.021837744300842288,0
15/9-F-1,3370.5,0.302832,0.34687287,0.04404086615371705,0
15/9-F-1,3370.7,0.28361,0.266837,-0.01677299915313718,0
15/9-F-1,3370.8,0.255423,0.29632217,0.04089916691970824,0
15/9-F-1,3371.5,0.201351,0.30278233,0.1014313269367218,1
15/9-F-1,3371.7,0.197974,0.3090015,0.11102750537490844,1
15/9-F-1,3371.9,0.186123,0.25757265,0.07144965090942382,1
15/9-F-1,3373.5,0.321777,0.29727173,-0.02450527148437498,0
15/9-F-1,3373.6,0.312206,0.29727173,-0.014934271484374984,0
15/9-F-1,3373.8,0.269204,0.25757265,-0.01163134909057617,0
15/9-F-1,3374.8,0.17067000000000002,0.266837,0.09616700084686278,1
15/9-F-1,3375.8,0.21409899999999998,0.24246183,0.02836283037757875,0
15/9-F-1,3376.2,0.167286,0.30947864,0.14219264055633546,2
15/9-F-1,3376.3,0.166277,0.30242628,0.136149278591156,1
15/9-F-1,3376.5,0.215219,0.265844,0.05062498746490479,0
15/9-F-1,3376.7,0.261148,0.2512262,-0.009921813247680655,0
15/9-F-1,3377.0,0.33623800000000004,0.24566996,-0.09056803902435306,1
15/9-F-1,3377.5,0.212331,0.28532284,0.07299184498214722,1
15/9-F-1,3377.6,0.196526,0.29105252,0.09452652027511596,1
15/9-F-1,3377.9,0.245562,0.28668392,0.04112191704559326,0
15/9-F-1,3378.3,0.201568,0.25755054,0.05598253758621216,0
15/9-F-1,3378.7,0.185818,0.272044,0.08622600300979613,1
15/9-F-1,3379.1,0.273909,0.266837,-0.007071999153137221,0
15/9-F-1,3380.0,0.312749,0.29727173,-0.015477271484375,0
15/9-F-1,3380.3,0.303222,0.3129353,0.009713292720794686,0
15/9-F-1,3380.6,0.296192,0.28532284,-0.010869155017852794,0
15/9-F-1,3380.8,0.29118099999999997,0.3246651,0.033484099382400545,0
15/9-F-1,3381.4,0.29541100000000003,0.265844,-0.02956701253509525,0
15/9-F-1,3381.5,0.290315,0.265844,-0.024471012535095205,0
15/9-F-1,3381.6,0.278398,0.29108086,0.012682862283706686,0
15/9-F-1,3381.8,0.25351799999999997,0.2935353,0.04001729214859012,0
15/9-F-1,3382.0,0.221121,0.3115221,0.09040109639549254,1
15/9-F-1,3382.1,0.222442,0.2988165,0.0763745020942688,1
15/9-F-1,3382.3,0.25137600000000004,0.29108205,0.03970605437660213,0
15/9-F-1,3384.0,0.27460100000000004,0.27916798,0.004566979955673178,0
15/9-F-1,3384.2,0.30812399999999995,0.33796513,0.029841130805969285,0
15/9-F-1,3384.4,0.258944,0.3613402,0.10239619494056701,1
15/9-F-1,3384.9,0.31039,0.27437952,-0.03601047839164734,0
15/9-F-1,3385.9,0.20633200000000002,0.2917881,0.08545610119628905,1
15/9-F-1,3386.6,0.231444,0.33459792,0.10315391541099547,1
15/9-F-1,3387.9,0.16367,0.25147727,0.08780727131843566,1
15/9-F-1,3388.3,0.305411,0.25147727,-0.05393372868156432,0
15/9-F-1,3388.4,0.30909699999999996,0.26696146,-0.042135544654846147,0
15/9-F-1,3388.5,0.313711,0.34437394,0.03066294142150877,0
15/9-F-1,3388.9,0.407343,0.22534463,-0.18199837190437318,2
15/9-F-1,3389.3,0.363631,0.31844038,-0.045190622287750226,0
15/9-F-1,3389.6,0.294277,0.35684758,0.0625705842475891,0
15/9-F-1,3390.2,0.328447,0.42222524,0.0937782368927002,1
15/9-F-1,3391.4,0.290418,0.28532284,-0.005095155017852793,0
15/9-F-1,3391.6,0.317974,0.28348613,-0.034487872146606424,0
15/9-F-1,3392.2,0.25950700000000004,0.2890577,0.029550701826095538,0
15/9-F-1,3393.0,0.29558,0.28063872,-0.014941275434494028,0
15/9-F-1,3393.3,0.327313,0.27927244,-0.04804056290435793,0
15/9-F-1,3393.6,0.26605,0.3628398,0.09678978819847106,1
15/9-F-1,3395.1,0.35097,0.36528057,0.014310568599700924,0
15/9-F-1,3395.5,0.2795,0.37763834,0.09813833999633786,1
15/9-F-1,3396.2,0.307793,0.30215603,-0.0056369688682555985,0
15/9-F-1,3396.5,0.260314,0.28539127,0.025077271114349375,0
15/9-F-1,3396.6,0.244234,0.33204094,0.087806935754776,1
15/9-F-1,3397.4,0.286439,0.26093775,-0.025501249660491943,0
15/9-F-1,3397.7,0.227316,0.33745718,0.11014118002319337,1
15/9-F-1,3397.9,0.21860700000000002,0.29744536,0.07883835684585569,1
15/9-F-1,3398.1,0.19038,0.272044,0.08166400300979615,1
15/9-F-1,3399.1,0.145612,0.23547634,0.08986434482383729,1
15/9-F-1,3399.2,0.17391700000000002,0.23547634,0.061559344823837264,0
15/9-F-1,3399.4,0.290653,0.23643392,-0.054219076755523676,0
15/9-F-1,3400.4,0.386883,0.3246651,-0.062217900617599464,0
15/9-F-1,3401.0,0.386648,0.36995476,-0.01669323515701293,0
15/9-F-1,3401.3,0.393007,0.3246651,-0.06834190061759948,0
15/9-F-1,3401.6,0.323484,0.32270345,-7.805490818023619E-4,0
15/9-F-1,3401.9,0.303578,0.29276562,-0.010812382629394546,0
15/9-F-1,3402.1,0.301585,0.31099474,0.009409744300842293,0
15/9-F-1,3402.5,0.287898,0.29798982,0.010091815473556531,0
15/9-F-1,3402.6,0.342674,0.31099474,-0.03167925569915769,0
15/9-F-1,3403.4,0.399055,0.3029051,-0.09614988749504089,1
15/9-F-1,3404.0,0.23240100000000002,0.24195164,0.009550644420623755,0
15/9-F-1,3404.3,0.181518,0.35846597,0.1769479695625305,2
15/9-F-1,3404.5,0.289862,0.32369167,0.03382966612625121,0
15/9-F-1,3404.7,0.347383,0.28320256,-0.06418044124412536,0
15/9-F-1,3406.7,0.369791,0.3124788,-0.05731218945121763,0
15/9-F-1,3408.2,0.344907,0.30423456,-0.04067243569564821,0
15/9-F-1,3408.5,0.284666,0.30995652,0.02529052079582217,0
15/9-F-1,3409.4,0.307479,0.28320256,-0.02427644124412537,0
15/9-F-1,3409.5,0.319602,0.2956962,-0.023905801059722898,0
15/9-F-1,3409.8,0.35025,0.2890577,-0.061192298173904425,0
15/9-F-1,3410.9,0.140069,0.3682707,0.22820169520950317,3
15/9-F-1,3411.2,0.26597,0.30418614,0.03821613553047182,0
15/9-F-1,3412.4,0.366685,0.2147088,-0.15197619491577147,2
15/9-F-1,3412.6,0.36591,0.26899892,-0.09691107908248903,1
15/9-F-1,3413.2,0.199151,0.28922635,0.09007535316848755,1
15/9-F-1,3413.9,0.32351599999999997,0.32886165,0.0053456538047790825,0
15/9-F-1,3414.0,0.291632,0.3128989,0.0212669040851593,0
15/9-F-1,3414.8,0.387201,0.30072674,-0.08647425844764711,1
15/9-F-1,3415.0,0.34426799999999996,0.2732931,-0.07097489225196835,1
15/9-F-1,3415.7,0.326398,0.3246651,-0.0017329006175995088,0
15/9-F-1,3415.8,0.296154,0.39142007,0.09526606635665896,1
15/9-F-1,3416.3,0.256842,0.29108086,0.03423886228370665,0
15/9-F-1,3416.4,0.287648,0.3003452,0.012697212221145615,0
15/9-F-1,3416.5,0.285702,0.29105252,0.005350520275115955,0
15/9-F-1,3416.7,0.27887199999999995,0.27550876,-0.003363238594055129,0
15/9-F-1,3417.6,0.26605999999999996,0.3246651,0.05860509938240055,0
15/9-F-1,3417.8,0.265569,0.29294813,0.027379126792907715,0
15/9-F-1,3418.6,0.185949,0.27595407,0.09000506770706176,1
15/9-F-1,3419.0,0.23137199999999997,0.266837,0.035465000846862826,0
15/9-F-1,3419.4,0.275683,0.25552693,-0.020156069906234753,0
15/9-F-1,3419.6,0.236639,0.25552425,0.018885247884750378,0
15/9-F-1,3420.3,0.35775100000000004,0.30426317,-0.05348782546615605,0
15/9-F-1,3420.6,0.339447,0.3541935,0.014746508625030519,0
15/9-F-1,3421.6,0.31035799999999997,0.30929497,-0.0010630311565398842,0
15/9-F-1,3421.8,0.363082,0.30734643,-0.05573556659889223,0
15/9-F-1,3422.0,0.36149899999999996,0.32462075,-0.03687824647331234,0
15/9-F-1,3422.2,0.30933299999999997,0.27609563,-0.03323737126159665,0
15/9-F-1,3422.9,0.239806,0.35026777,0.11046176790618897,1
15/9-F-1,3423.0,0.24648299999999998,0.34483135,0.09834834746551516,1
15/9-F-1,3423.9,0.285358,0.3004431,0.015085112850189208,0
15/9-F-1,3424.7,0.357296,0.31099474,-0.04630125569915772,0
15/9-F-1,3424.8,0.34991700000000003,0.31099474,-0.03892225569915775,0
15/9-F-1,3425.3,0.349957,0.32840645,-0.021550546867370624,0
15/9-F-1,3425.6,0.429687,0.37478107,-0.054905927860259995,0
15/9-F-1,3425.9,0.342037,0.38407683,0.042039833724975606,0
15/9-F-1,3426.4,0.321268,0.36627385,0.04500585020256043,0
15/9-F-1,3426.9,0.225991,0.381753,0.15576199763679505,2
15/9-F-1,3427.5,0.30453,0.2796553,-0.02487469246864321,0
15/9-F-1,3428.0,0.329882,0.19738463,-0.13249737432670594,1
15/9-F-1,3429.5,0.236213,0.33691058,0.10069757562828063,1
15/9-F-1,3429.6,0.226964,0.31237558,0.08541157530403137,1
15/9-F-1,3430.6,0.281082,0.25907373,-0.022008265716552733,0
15/9-F-1,3431.0,0.278368,0.29505044,0.016682442218780513,0
15/9-F-1,3431.1,0.271981,0.30225396,0.03027296156311038,0
15/9-F-1,3431.7,0.251458,0.2935353,0.04207729214859007,0
15/9-F-1,3431.9,0.23311500000000002,0.30023333,0.0671183343029022,0
15/9-F-1,3432.1,0.198581,0.3143353,0.11575428661727905,1
15/9-F-1,3432.4,0.182032,0.33152193,0.1494899283103943,2
15/9-F-1,3432.9,0.333878,0.2722668,-0.061611194828033455,0
15/9-F-1,3433.6,0.33237300000000003,0.30067617,-0.03169683298873904,0
15/9-F-1,3433.7,0.29888200000000004,0.28803614,-0.010845862180709875,0
15/9-F-1,3434.6,0.401356,0.35482085,-0.04653515248870849,0
15/9-F-1,3434.7,0.411181,0.4678448,0.05666381406211851,0
15/9-F-1,3434.8,0.393049,0.4746077,0.08155870606994631,1
15/9-F-1,3435.4,0.364111,0.3417044,-0.022406601606369037,0
15/9-F-1,3435.5,0.362717,0.36832753,0.005610528238296497,0
15/9-F-1,3435.9,0.269809,0.266837,-0.002971999153137228,0
15/9-F-1,3436.9,0.188072,0.31748164,0.1294096370010376,1
15/9-F-1,3438.0,0.25700500000000004,0.2919551,0.03495011341094967,0
15/9-F-1,3438.2,0.280827,0.27312827,-0.00769872889709472,0
15/9-F-1,3438.5,0.302129,0.266837,-0.03529199915313719,0
15/9-F-1,3438.8,0.384764,0.28200418,-0.10275982242965698,1
15/9-F-1,3438.9,0.44596,0.28182992,-0.16413007660865786,2
15/9-F-1,3439.0,0.515744,0.2873872,-0.22835680775070188,3
15/9-F-1,3441.1,0.28421599999999997,0.37472436,0.09050835832023624,1
15/9-F-1,3441.5,0.24452,0.33594525,0.09142524860382081,1
15/9-F-1,3441.8,0.16233599999999998,0.27998585,0.11764984508895876,1
15/9-F-1,3444.8,0.411908,0.29202092,-0.11988708306121826,1
15/9-F-1,3445.2,0.650483,0.29744536,-0.3530376431541443,5
15/9-F-1,3445.6,0.267838,0.3134498,0.04561180001449583,0
15/9-F-1,3446.1,0.634336,0.3264504,-0.3078855924949646,4
15/9-F-1,3446.8,0.217959,0.49323884,0.2752798365268707,3
15/9-F-1,3446.9,0.210988,0.40690964,0.19592164460372924,2
15/9-F-1,3447.8,0.275871,0.36667165,0.0908006516017914,1
15/9-F-1,3449.7,0.298976,0.3599631,0.06098708922767637,0
15/9-F-1,3450.8,0.323787,0.3135165,-0.01027050238800048,0
15/9-F-1,3451.1,0.321367,0.29783848,-0.023528520719528212,0
15/9-F-1,3451.3,0.334092,0.2729234,-0.061168590061187744,0
15/9-F-1,3451.6,0.307332,0.25637752,-0.05095448182296752,0
15/9-F-1,3452.1,0.163122,0.27043912,0.10731711814689637,1
15/9-F-1,3453.7,0.416933,0.2791403,-0.13779270640182495,1
15/9-F-1,3454.5,0.211639,0.25299656,0.041357563911437994,0
15/9-F-1,3454.6,0.254954,0.2749316,0.019977609630584703,0
15/9-F-1,3455.5,0.208602,0.20550618,-0.003095824243545542,0
15/9-F-1,3457.0,0.120148,0.4589678,0.3388198049087524,4
15/9-F-1,3457.1,0.131172,0.35798392,0.22681191699790954,3
15/9-F-1,3457.5,0.189196,0.2703945,0.08119850407028198,1
15/9-F-1,3458.2,0.318688,0.25761205,-0.061075950420379665,0
15/9-F-1,3458.6,0.416459,0.31359124,-0.10286775816345217,1
15/9-F-1,3459.1,0.34563,0.27168489,-0.07394511497497558,1
15/9-F-1,3459.2,0.371934,0.28215706,-0.08977693651580809,1
15/9-F-1,3459.4,0.45502299999999996,0.30080536,-0.1542176399211883,2
15/9-F-1,3459.7,0.348473,0.27363056,-0.07484244055557249,1
15/9-F-1,3459.9,0.21681,0.3122622,0.09545220726966858,1
15/9-F-1,3462.1,0.23847800000000002,0.25467378,0.016195779010772682,0
15/9-F-1,3465.0,0.208481,0.3156639,0.1071829039516449,1
15/9-F-1,3465.2,0.230392,0.319875,0.08948300190734862,1
15/9-F-1,3465.4,0.33541,0.27900237,-0.05640763154983519,0
15/9-F-1,3465.5,0.381533,0.266837,-0.11469599915313722,1
15/9-F-1,3465.6,0.367638,0.25757265,-0.11006534909057619,1
15/9-F-1,3467.1,0.23823899999999998,0.31433785,0.07609884961700442,1
15/9-F-1,3469.0,0.189253,0.30580068,0.11654767634582519,1
15/9-F-1,3469.1,0.217337,0.30978507,0.09244806803512573,1
15/9-F-1,3469.2,0.230256,0.32291564,0.09265964345359803,1
15/9-F-1,3470.0,0.25566500000000003,0.2803164,0.024651412448883026,0
15/9-F-1,3470.2,0.28013699999999997,0.2712797,-0.00885730735015866,0
15/9-F-1,3470.7,0.321193,0.30758667,-0.013606330078125006,0
15/9-F-1,3470.9,0.336507,0.31118494,-0.025322057277679444,0
15/9-F-1,3472.0,0.179279,0.38656867,0.20728966550445557,2
15/9-F-1,3472.1,0.164625,0.41775388,0.2531288752555847,3
15/9-F-1,3472.2,0.165929,0.33168614,0.1657571391067505,2
15/9-F-1,3472.6,0.169899,0.30338442,0.13348542325592042,1
15/9-F-1,3473.8,0.46804700000000005,0.30242628,-0.16562072140884404,2
15/9-F-1,3474.0,0.47145699999999996,0.28617126,-0.18528574250411983,2
15/9-F-1,3474.1,0.45711899999999994,0.310582,-0.14653698806190485,2
15/9-F-1,3474.2,0.42499,0.310582,-0.11440798806190489,1
