DEPTH,GR,NPHI,RHOB,ILD,WELL,SW,PHIE,VSH,PERM
FEET,GAPI,V/V,G/C3,OHMM,,V/V,V/V,V/V,MD
15943,9.87,0.153375,2.5391,2.04,15/9-F-10,0.975843,0.130112,0,1.08561
15943.5,10.9612,0.155286,2.5896,2.04,15/9-F-10,1.07432,0.116689,0.00636556,0.641471
15944,12.0688,0.163473,2.4399,2.04,15/9-F-10,0.788947,0.157596,0.0137007,4.04432
15944.5,13.1386,0.184907,2.43,2.04,15/9-F-10,0.727732,0.170206,0.0207854,6.81847
15945,12.2338,0.185193,2.43,2.04,15/9-F-10,0.721863,0.171853,0.0147934,7.14903
15945.5,11.2701,0.216562,2.4201,2.0301,15/9-F-10,0.644554,0.192849,0.00841126,14.8695
15946,10.3163,0.216687,2.42,2.0305,15/9-F-10,0.641132,0.194501,0.0020947,15.4195
15946.5,11.5238,0.176834,2.4208,2.13,15/9-F-10,0.709819,0.170864,0.0100914,7.13572
15947,12.6573,0.168928,2.4589,2.13,15/9-F-10,0.779305,0.154741,0.017598,3.84799
15947.5,13.8543,0.168996,2.4501,2.1695,15/9-F-10,0.773456,0.155069,0.0255252,4.00822
15948,14.5,0.1801,2.47,2.17,15/9-F-10,0.770312,0.154889,0.0298013,4.05549
15948.5,15.1156,0.189391,2.47,2.17,15/9-F-10,0.74933,0.158856,0.0338781,4.84291
15949,14.8775,0.188915,2.47,2.17,15/9-F-10,0.747905,0.158992,0.0323013,4.86431
15949.5,14.0041,0.155444,2.4602,2.17,15/9-F-10,0.823647,0.144677,0.0265172,2.59218
15950,13.11,0.1619,2.46,2.21,15/9-F-10,0.793906,0.149829,0.020596,3.2264
15950.5,12.0127,0.161311,2.461,2.2,15/9-F-10,0.793203,0.151069,0.0133291,3.30502
15951,10.9176,0.137424,2.5194,2.1997,15/9-F-10,0.96362,0.124863,0.00607682,0.936335
