DEPTH,GR,NPHI,RHOB,RT,WELL
METERS,GAPI,V/V,G/C3,OHMM,
3368,126.212,0.3274,21.865,-999.25,15/9-F-4
3368.5,117.326,0.3113,21.954,-999.25,15/9-F-4
3369,109.871,0.3282,21.772,-999.25,15/9-F-4
3369.5,118.132,0.326,22.181,-999.25,15/9-F-4
3370,121.381,0.3303,21.925,-999.25,15/9-F-4
3370.5,132.143,0.3389,21.949,-999.25,15/9-F-4
3371,121.064,0.3606,2.183,-999.25,15/9-F-4
3371.5,117.363,0.3591,2.191,-999.25,15/9-F-4
3372,105.408,0.3515,21.683,-999.25,15/9-F-4
3372.5,87.742,0.4001,21.335,-999.25,15/9-F-4
3373,79.367,0.384,21.077,-999.25,15/9-F-4
3373.5,90.476,0.3504,21.055,-999.25,15/9-F-4
3374,97.496,0.3681,20.924,-999.25,15/9-F-4
3374.5,104.537,0.3477,20.715,-999.25,15/9-F-4
3375,99.026,0.3432,20.242,-999.25,15/9-F-4
3375.5,113.201,0.3215,20.331,-999.25,15/9-F-4
3376,121.492,0.3312,19.897,-999.25,15/9-F-4
3376.5,124.955,0.325,19.585,-999.25,15/9-F-4
3377,119.215,0.3415,18.592,-999.25,15/9-F-4
3377.5,110.807,0.3394,18.478,-999.25,15/9-F-4
3378,115.001,0.3358,18.391,-999.25,15/9-F-4
3378.5,126.319,0.3464,1.897,-999.25,15/9-F-4
3379,136.223,0.3012,19.634,-999.25,15/9-F-4
3379.5,128.358,0.3013,20.319,-999.25,15/9-F-4
3380,10.609,0.3009,19.956,-999.25,15/9-F-4
3380.5,98.483,0.3021,20.993,-999.25,15/9-F-4
3381,105.931,0.2733,2.518,-999.25,15/9-F-4
3381.5,13.496,0.3371,24.687,-999.25,15/9-F-4
3382,160.715,0.2898,23.853,-999.25,15/9-F-4
3382.5,16.31,0.3006,24.314,85.271,15/9-F-4
3383,144.963,0.2616,22.676,15.525,15/9-F-4
3383.5,115.241,0.2212,22.226,107.217,15/9-F-4
3384,115.944,0.2157,21.907,47.747,15/9-F-4
3384.5,120.393,0.1963,21.566,52.161,15/9-F-4
3385,127.752,0.1774,21.441,41.652,15/9-F-4
3385.5,112.113,0.1865,21.759,55.935,15/9-F-4
3386,100.869,0.172,22.165,69.462,15/9-F-4
3386.5,8.95,0.1795,22.204,74.168,15/9-F-4
3387,91.995,0.1825,22.235,77.791,15/9-F-4
3387.5,94.552,0.181,2.246,7.431,15/9-F-4
3388,98.692,0.1812,2.282,71.084,15/9-F-4
3388.5,96.025,0.1743,23.294,63.595,15/9-F-4
3389,94.291,0.1726,23.597,55.813,15/9-F-4
3389.5,92.069,0.205,23.541,50.315,15/9-F-4
3390,88.468,0.2199,23.124,43.849,15/9-F-4
3390.5,85.445,0.2344,22.824,3.433,15/9-F-4
3391,8.032,0.2351,23.089,28.276,15/9-F-4
3391.5,7.718,0.2472,2.37,2.474,15/9-F-4
3392,76.539,0.2268,24.059,2.224,15/9-F-4
3392.5,78.848,0.2325,24.371,2.222,15/9-F-4
3393,82.944,0.2346,24.572,22.515,15/9-F-4
3393.5,84.481,0.2116,24.869,23.627,15/9-F-4
3394,86.885,0.2081,25.103,25.466,15/9-F-4
3394.5,84.237,0.2062,25.205,29.074,15/9-F-4
3395,82.989,0.1948,25.189,33.394,15/9-F-4
3395.5,85.147,0.1734,25.036,37.842,15/9-F-4
3396,87.504,0.1816,25.057,45.719,15/9-F-4
3396.5,86.595,0.1908,24.952,4.758,15/9-F-4
3397,82.387,0.201,25.027,44.416,15/9-F-4
3397.5,82.299,0.1954,24.863,41.496,15/9-F-4
3398,84.343,0.1804,24.975,39.541,15/9-F-4
3398.5,88.638,0.1786,25.228,41.448,15/9-F-4
3399,8.897,0.1715,25.115,42.813,15/9-F-4
3399.5,88.254,0.1876,25.218,38.283,15/9-F-4
3400,87.673,0.2041,25.024,32.837,15/9-F-4
3400.5,92.088,0.1898,25.016,29.393,15/9-F-4
3401,93.409,0.2029,2.485,28.126,15/9-F-4
3401.5,95.658,0.199,24.799,2.767,15/9-F-4
3402,88.765,0.201,24.858,2.675,15/9-F-4
3402.5,82.022,0.1952,24.865,29.043,15/9-F-4
3403,71.793,0.1617,25.138,30.414,15/9-F-4
3403.5,76.938,0.1507,25.317,31.736,15/9-F-4
3404,86.922,0.1434,25.631,33.766,15/9-F-4
3404.5,96.271,0.1483,25.532,36.631,15/9-F-4
3405,89.164,0.1441,25.457,39.386,15/9-F-4
3405.5,79.202,0.1591,25.419,40.013,15/9-F-4
3406,72.823,0.1744,25.315,39.637,15/9-F-4
3406.5,81.395,0.1712,25.246,37.514,15/9-F-4
3407,93.409,0.1761,24.854,34.297,15/9-F-4
3407.5,86.896,0.1959,24.531,30.988,15/9-F-4
3408,77.767,0.2098,24.464,28.927,15/9-F-4
3408.5,7.295,0.223,24.575,25.717,15/9-F-4
3409,87.455,0.2177,24.724,25.556,15/9-F-4
3409.5,9.572,0.22,24.922,27.661,15/9-F-4
3410,98.977,0.2117,25.009,29.109,15/9-F-4
3410.5,94.622,0.2187,25.029,28.384,15/9-F-4
3411,99.455,0.1996,24.935,27.364,15/9-F-4
3411.5,9.45,0.1878,25.052,28.444,15/9-F-4
3412,95.555,0.2067,25.175,29.831,15/9-F-4
3412.5,88.584,0.2087,25.223,30.052,15/9-F-4
3413,91.014,0.202,24.991,29.008,15/9-F-4
3413.5,92.727,0.2282,2.498,26.854,15/9-F-4
3414,101.513,0.2339,24.955,22.144,15/9-F-4
3414.5,99.345,0.2449,24.818,2.023,15/9-F-4
3415,90.113,0.2708,24.499,18.219,15/9-F-4
3415.5,80.296,0.1914,23.791,16.289,15/9-F-4
3416,72.931,0.1906,23.608,15.207,15/9-F-4
3416.5,68.184,0.1906,23.826,14.502,15/9-F-4
3417,71.319,0.1962,24.246,14.833,15/9-F-4
3417.5,7.406,0.1768,2.443,15.164,15/9-F-4
3418,7.856,0.1484,24.729,16.798,15/9-F-4
3418.5,73.811,0.1371,24.974,19.427,15/9-F-4
3419,77.526,0.1457,2.522,23.398,15/9-F-4
3419.5,80.372,0.1271,25.039,22.864,15/9-F-4
3420,75.925,0.131,24.768,2.17,15/9-F-4
3420.5,79.006,0.1494,2.454,1.928,15/9-F-4
3421,76.591,0.1596,24.403,1.66,15/9-F-4
3421.5,79.774,0.1704,24.458,15.202,15/9-F-4
3422,68.806,0.1743,24.556,1.677,15/9-F-4
3422.5,7.066,0.1384,24.802,18.224,15/9-F-4
3423,69.936,0.1353,24.948,20.519,15/9-F-4
3423.5,72.025,0.141,24.805,22.244,15/9-F-4
3424,72.048,0.1503,24.607,20.694,15/9-F-4
3424.5,68.694,0.1585,24.323,18.442,15/9-F-4
3425,72.731,0.167,24.253,16.198,15/9-F-4
3425.5,73.744,0.1718,24.243,16.301,15/9-F-4
3426,72.562,0.1736,24.375,17.048,15/9-F-4
3426.5,57.584,0.1576,24.594,17.297,15/9-F-4
3427,53.835,0.1557,24.699,18.339,15/9-F-4
3427.5,59.457,0.1666,24.877,20.425,15/9-F-4
3428,80.005,0.1497,24.919,2.154,15/9-F-4
3428.5,8.506,0.1352,25.111,22.973,15/9-F-4
3429,86.603,0.1214,25.222,25.692,15/9-F-4
3429.5,85.523,0.1073,25.377,28.372,15/9-F-4
3430,85.504,0.1046,2.545,31.403,15/9-F-4
3430.5,87.869,0.1,25.489,31.651,15/9-F-4
3431,82.375,0.1066,25.329,33.987,15/9-F-4
3431.5,77.861,0.107,25.074,37.218,15/9-F-4
3432,68.344,0.1111,24.996,36.201,15/9-F-4
3432.5,6.653,0.1199,24.978,36.047,15/9-F-4
3433,64.583,0.1111,2.518,35.419,15/9-F-4
3433.5,6.786,0.1059,25.215,39.344,15/9-F-4
3434,6.808,0.1075,25.171,39.118,15/9-F-4
3434.5,67.623,0.1159,24.968,38.319,15/9-F-4
3435,67.476,0.1223,2.477,35.316,15/9-F-4
3435.5,6.225,0.1264,24.725,33.564,15/9-F-4
3436,62.682,0.131,24.658,2.974,15/9-F-4
3436.5,60.524,0.1403,2.463,25.504,15/9-F-4
3437,66.377,0.1454,24.491,22.183,15/9-F-4
3437.5,66.279,0.1513,24.416,19.424,15/9-F-4
3438,65.655,0.1476,24.298,20.509,15/9-F-4
3438.5,60.319,0.1446,24.319,21.054,15/9-F-4
3439,60.459,0.1456,2.428,21.897,15/9-F-4
3439.5,60.266,0.1492,24.397,23.675,15/9-F-4
3440,64.803,0.1411,24.505,23.915,15/9-F-4
3440.5,65.115,0.1376,24.705,24.278,15/9-F-4
3441,66.375,0.1388,24.869,21.565,15/9-F-4
3441.5,63.535,0.1354,24.789,22.587,15/9-F-4
3442,67.665,0.1428,24.722,23.139,15/9-F-4
3442.5,66.781,0.1513,24.511,21.327,15/9-F-4
3443,65.449,0.1648,24.489,18.888,15/9-F-4
3443.5,65.132,0.1596,24.388,17.304,15/9-F-4
3444,64.529,0.1533,24.486,17.777,15/9-F-4
3444.5,68.203,0.1393,24.652,19.879,15/9-F-4
3445,70.952,0.1304,24.789,21.728,15/9-F-4
3445.5,71.953,0.1302,24.817,22.969,15/9-F-4
3446,79.078,0.1371,2.473,23.061,15/9-F-4
3446.5,7.406,0.135,24.808,23.686,15/9-F-4
3447,78.548,0.1324,24.951,23.894,15/9-F-4
3447.5,7.537,0.1269,25.116,24.836,15/9-F-4
3448,78.424,0.1163,25.268,26.909,15/9-F-4
3448.5,7.776,0.1132,25.304,29.413,15/9-F-4
3449,74.844,0.1083,25.342,31.497,15/9-F-4
3449.5,7.128,0.1059,2.523,30.204,15/9-F-4
3450,7.009,0.1115,25.099,28.417,15/9-F-4
3450.5,71.877,0.1158,24.999,28.391,15/9-F-4
3451,69.784,0.1157,24.961,26.447,15/9-F-4
3451.5,69.209,0.1117,25.025,25.875,15/9-F-4
3452,64.406,0.106,25.037,27.369,15/9-F-4
3452.5,64.828,0.0974,25.278,3.138,15/9-F-4
3453,63.588,0.0879,25.502,34.002,15/9-F-4
3453.5,65.978,0.0839,25.765,38.487,15/9-F-4
3454,69.646,0.0925,25.722,37.436,15/9-F-4
