MD_ft,Deviation,Azimuth,TVD_ft,WellName,DL,CF,North,East,Res
5685.695538,0.41381756564785555,4.415159408770055,5521.948819,15/9-F-12,0.0008764876982119947,1.0000000640192288,-164.11494484744216,-901.611533811736,916.4262507286825
5718.503937,0.41364303272265607,4.415857540470853,5552.001312,15/9-F-12,0.0003315093238206538,1.0000000091582026,-167.97349597231337,-914.2244089572896,929.5274957108403
5751.312336,0.4132939668722572,4.4165556721716515,5582.020997,15/9-F-12,0.0004488032072856772,1.0000000167853602,-171.82094601232401,-926.8324519733719,942.6244382146808
5784.120735,0.41242130224626006,4.413937678293659,5612.073491,15/9-F-12,0.0013666173980221628,1.000000155636955,-175.67510195030778,-939.4192414305929,955.7040612110434
5816.929134,0.411199571769864,4.415159408770055,5642.158793,15/9-F-12,0.0013169659144691,1.0000001445332933,-179.52883628264019,-951.9732444502822,968.7536638414308
5849.737533,0.41015237421866746,4.413065013667662,5672.244094,15/9-F-12,0.0013410588148734964,1.0000001498699223,-183.37799429815036,-964.4929588054947,981.7709286682867
5882.545932,0.40840704496667307,4.410097953939272,5702.329396,15/9-F-12,0.002108203846129953,1.0000003703771194,-187.24635217597623,-976.9627649580071,994.7449122853577
5915.354331,0.4078834461910748,4.410097953939272,5732.447507,15/9-F-12,0.0005245987755538267,1.000000022933657,-191.1230785920679,-989.3942150674678,1007.6849428166923
5948.16273,0.4077089132658754,4.409225289313275,5762.565617,15/9-F-12,0.0003886059426026757,1.0000000125845483,-195.0020934977059,-1001.8139375148261,1020.61598158536
5980.971129,0.4082325120414737,4.409574355163674,5792.683727,15/9-F-12,0.0005426044858852253,1.0000000245349698,-198.8859281377971,-1014.2376617967296,1033.553891685446
6013.779528,0.4092797095926703,4.407305427136081,5822.769029,15/9-F-12,0.0013829959178999767,1.0000001593898395,-202.7887808277907,-1026.680203775113,1046.5159007169118
6046.587927,0.40980330836826856,4.408003558836879,5852.887139,15/9-F-12,0.0005938179280466617,1.0000000293849787,-206.70848033251963,-1039.1422412983213,1059.502238549725
6079.396325,0.40858157789187255,4.41079608564007,5882.972441,15/9-F-12,0.0016523852968564753,1.000000227531493,-210.60331241925653,-1051.6010538676696,1072.4824155656615
6112.204724,0.4082325120414737,4.41079608564007,5913.090551,15/9-F-12,0.0003500658504863842,1.000000010212175,-214.47370077691403,-1064.0427349195493,1085.4427253706294
6145.013123,0.40962877544306914,4.411843283191266,5943.175853,15/9-F-12,0.001458029914378728,1.0000001771543068,-218.34223750122035,-1076.5014963321628,1098.42105054593
6177.821522,0.4103269071438669,4.414112211218859,5973.293963,15/9-F-12,0.0011434848752424139,1.0000001089631525,-222.19940526837834,-1088.996764957311,1111.434446914936
6210.629921,0.409977841293468,4.417602869722848,6003.379265,15/9-F-12,0.0014359988720398656,1.000000171841099,-226.0221250028122,-1101.5080960155321,1124.458130202521
6243.43832,0.41015237421866746,4.417253803872449,6033.464567,15/9-F-12,0.0002242212642503947,1.000000004189598,-229.82442080085582,-1114.022923533237,1137.4824563719606
6276.246719,0.4110250388446646,4.418301001423646,6063.549869,15/9-F-12,0.0009686039215391126,1.0000000781828038,-233.62691433811963,-1126.554151692038,1150.524137859662
6309.055118,0.4115486376202629,4.421442594077235,6093.602362,15/9-F-12,0.0013617448650547952,1.0000001545291184,-237.40920028918768,-1139.1134115558716,1163.590345769682
6341.863517,0.411199571769864,4.425282318431623,6123.687664,15/9-F-12,0.001575566158646253,1.0000002068674447,-241.14839066473425,-1151.688299796529,1176.6641348356
6374.671916,0.4115486376202629,4.42615498305762,6153.740157,15/9-F-12,0.000494572908916202,1.0000000203835306,-244.8579357358842,-1164.2719865261909,1189.7414287577285
6407.480315,0.41137410469506347,4.424933252581224,6183.825459,15/9-F-12,0.0005198651603312026,1.0000000225216494,-248.57041983589934,-1176.857541395697,1202.8220676215246
6440.288714,0.40474185353748504,4.425282318431623,6213.94357,15/9-F-12,0.0066346974390132304,1.0000036682836564,-252.25938792288792,-1189.3432299014567,1215.8010187969326
6473.097113,0.3923500158483253,4.4244096538056255,6244.160105,15/9-F-12,0.012397463499838517,1.000012808288629,-255.87011036063842,-1201.5526727788322,1228.4943381383248
6505.905512,0.37995817815916555,4.420395396526039,6274.573491,15/9-F-12,0.012484704213632396,1.0000129891890683,-259.4029497746524,-1213.393346724052,1240.8115506498102
6538.713911,0.36913713679680066,4.412890480742463,6305.085302,15/9-F-12,0.011164878883329166,1.000010388006198,-262.90063601043425,-1224.87529171827,1252.7714175685076
6571.52231,0.3581415625092364,4.399451445502106,6335.761155,15/9-F-12,0.011990389212335079,1.0000119809583716,-266.4172085749528,-1236.001724546774,1264.3885447549221
6604.330709,0.3460987906704755,4.381649087131764,6366.568241,15/9-F-12,0.013518190186729926,1.0000152287337858,-269.9946316421393,-1246.7360588471754,1275.636273216375
6637.139108,0.335801348083709,4.36140326780863,6397.473753,15/9-F-12,0.012324017045451942,1.0000126569752474,-273.66038461196337,-1257.0754464510499,1286.5180465800213
6669.947507,0.32585297134734137,4.345346238690282,6428.510499,15/9-F-12,0.011233435303267474,1.0000105159717605,-277.40345055389804,-1267.0530927824648,1297.0644603522287
6702.755906,0.3157300616857742,4.333128933926322,6459.645669,15/9-F-12,0.010831975846123595,1.0000097777564516,-281.17378662993275,-1276.6863913600362,1307.2822343211608
6735.564304,0.3040363556974122,4.324227754741151,6490.879265,15/9-F-12,0.01200550317107705,1.0000120111819857,-284.91842541826105,-1285.9638600002245,1317.1490266365072
6768.372703,0.29042278753185646,4.320911629162362,6522.244094,15/9-F-12,0.013649149676547026,1.0000155252298084,-288.5695655022479,-1294.8517241104712,1326.6172701898674
6801.181102,0.2747148242639075,4.3165483060323755,6553.772966,15/9-F-12,0.015755970727544175,1.0000206880647131,-292.07782747284944,-1303.2998823769206,1335.6272087318955
6833.989501,0.25865779514555964,4.308519791473202,6585.400262,15/9-F-12,0.01619670410834204,1.0000218616755023,-295.44266157859136,-1311.2643036002994,1344.1355735851278
6866.7979,0.2462659574563999,4.299269546437632,6617.191601,15/9-F-12,0.01260629072185526,1.0000132434242763,-298.6971196996039,-1318.785404177932,1352.1889333926642
6899.606299,0.23649211364523168,4.289670235551664,6649.048556,15/9-F-12,0.010040483534553914,1.0000084010271593,-301.8793755181618,-1325.9532137450428,1359.8834811865472
